Stand_ID,Lat,Lon,Category
1,37.449724999999994,126.45598055555556,Apron 1
2,37.44982777777778,126.45649166666666,Apron 1
3,37.45009166666667,126.45670555555556,Apron 1
6,37.450497222222225,126.45666111111112,Apron 1
7,37.45082777777778,126.45639444444444,Apron 1
8,37.45100555555556,126.45581944444444,Apron 1
9,37.451100000000004,126.45505277777778,Apron 1
10,37.451144444444445,126.45427222222223,Apron 1
11,37.45116388888889,126.45345555555556,Apron 1
12,37.451800000000006,126.45236666666666,Apron 1
14,37.4525,126.45215,Apron 1
15,37.45314444444445,126.45198611111111,Apron 1
16,37.45027777777778,126.45197777777778,Apron 1
17,37.45411666666667,126.4516388888889,Apron 1
18,37.45421944444445,126.45126944444445,Apron 1
19,37.45388333333334,126.45073888888889,Apron 1
20,37.453700000000005,126.45026666666666,Apron 1
21,37.45305555555556,126.45042222222223,Apron 1
22,37.45283055555556,126.45071111111112,Apron 1
23,37.45154166666667,126.45127777777778,Apron 1
24,37.45055,126.45082777777777,Apron 1
26,37.45016944444445,126.45009166666667,Apron 1
27,37.44971666666666,126.44941666666666,Apron 1
28,37.449727777777774,126.44805277777778,Apron 1
30,37.450211111111116,126.44743055555556,Apron 1
31,37.45058055555556,126.44675000000001,Apron 1
32,37.450969444444446,126.44624444444445,Apron 1
33,37.45124166666667,126.4457888888889,Apron 1
34,37.45086111111112,126.4453888888889,Apron 1
35,37.45055277777778,126.44499444444445,Apron 1
36,37.450116666666666,126.44500000000001,Apron 1
37,37.44989722222222,126.4453388888889,Apron 1
38,37.44978333333333,126.44590277777777,Apron 1
39,37.44942222222222,126.4466,Apron 1
40,37.44900555555555,126.4474,Apron 1
41,37.44799999999999,126.4478,Apron 1
42,37.44736944444444,126.44754444444445,Apron 1
43,37.446777777777775,126.44735555555556,Apron 1
45,37.44616666666666,126.44725555555556,Apron 1
46,37.44564166666666,126.4472138888889,Apron 1
47,37.445299999999996,126.44766111111112,Apron 1
48,37.44526666666666,126.44814166666667,Apron 1
49,37.44562222222222,126.44876944444445,Apron 1
50,37.458225000000006,126.45000555555556,Apron 1
103,37.457908333333336,126.44961111111111,Apron 1
105,37.45760277777778,126.44887777777778,Apron 1
107,37.457225,126.44821111111112,Apron 1
109,37.45676944444445,126.44740277777778,Apron 1
111,37.45639166666667,126.44673611111112,Apron 1
113,37.45593055555556,126.4461388888889,Apron 1
115,37.45558055555556,126.44548611111111,Apron 1
117,37.45518888888889,126.4447888888889,Apron 1
119,37.45488055555556,126.44406111111111,Apron 1
121,37.45450277777778,126.44339166666667,Apron 1
123,37.454011111111114,126.44263055555555,Apron 1
125,37.45359166666667,126.44200000000001,Apron 1
127,37.453319444444446,126.44132777777779,Apron 1
129,37.453044444444444,126.44098055555556,Apron 1
131,37.45328611111111,126.44055555555556,Apron 1
101,37.45865833333334,126.44944166666667,Apron 2
102,37.459,126.44911111111111,Apron 2
104,37.458802777777784,126.44873611111112,Apron 2
106,37.45841111111111,126.44839444444445,Apron 2
108,37.458088888888895,126.447675,Apron 2
110,37.45761111111111,126.44699166666668,Apron 2
112,37.45715555555556,126.44618611111112,Apron 2
114,37.45688611111111,126.44540555555555,Apron 2
118,37.455780555555556,126.44360555555556,Apron 2
122,37.455283333333334,126.442875,Apron 2
124,37.45486666666667,126.44213611111111,Apron 2
126,37.45445,126.4414,Apron 2
128,37.45417777777778,126.440625,Apron 2
130,37.45382777777778,126.4402388888889,Apron 2
301,37.4621,126.44666666666667,Apron 2
302,37.461925,126.4460138888889,Apron 2
303,37.46154722222222,126.44534722222222,Apron 2
304,37.461152777777784,126.44458888888889,Apron 2
305,37.460636111111114,126.44373333333334,Apron 2
306,37.46024166666667,126.442975,Apron 2
307,37.459830555555556,126.44232222222223,Apron 2
308,37.459519444444446,126.441775,Apron 2
309,37.45921111111112,126.441225,Apron 2
310,37.45885555555556,126.44052222222223,Apron 2
311,37.45833888888889,126.43966666666667,Apron 2
312,37.45794166666667,126.43891111111111,Apron 2
313,37.45750555555556,126.43819166666667,Apron 2
314,37.45712777777778,126.43752222222223,Apron 2
315,37.456694444444445,126.43710277777778,Apron 2
