Stand_ID,Lat,Lon,Category
1,37.44971944444444,126.45597222222223,Apron 1
2,37.449825,126.45648333333334,Apron 1
3,37.45008611111111,126.45669722222223,Apron 1
6,37.45049166666667,126.45665277777778,Apron 1
7,37.45081944444445,126.45638611111112,Apron 1
8,37.45097222222223,126.4558,Apron 1
9,37.45109166666667,126.45504444444445,Apron 1
10,37.45113888888889,126.45426111111111,Apron 1
11,37.45115555555556,126.45344444444444,Apron 1
12,37.45179166666667,126.45235555555556,Apron 1
14,37.45249444444445,126.4521388888889,Apron 1
15,37.453138888888894,126.45197777777778,Apron 1
16,37.453694444444444,126.45196944444444,Apron 1
17,37.45410277777778,126.45161944444445,Apron 1
18,37.45422222222223,126.45126388888889,Apron 1
19,37.453875000000004,126.45073055555555,Apron 1
20,37.453694444444444,126.45026111111112,Apron 1
21,37.45323055555556,126.45041666666667,Apron 1
22,37.452825000000004,126.45070555555556,Apron 1
23,37.45218333333334,126.4508888888889,Apron 1
24,37.45153611111111,126.45127222222223,Apron 1
26,37.450541666666666,126.45082222222223,Apron 1
27,37.450161111111115,126.45008611111112,Apron 1
28,37.44970833333333,126.44941111111112,Apron 1
30,37.44971944444444,126.44804444444445,Apron 1
31,37.45020277777778,126.44742222222223,Apron 1
32,37.45057222222223,126.44674166666667,Apron 1
33,37.45096111111111,126.44623333333334,Apron 1
34,37.451236111111115,126.44578333333334,Apron 1
35,37.45085277777778,126.44538333333334,Apron 1
36,37.45054722222223,126.44499166666667,Apron 1
37,37.45011111111111,126.44499722222223,Apron 1
38,37.449891666666666,126.44533611111112,Apron 1
39,37.449777777777776,126.44589722222223,Apron 1
40,37.449419444444445,126.44659722222222,Apron 1
41,37.449,126.44739444444444,Apron 1
42,37.44799444444444,126.44779722222222,Apron 1
43,37.44736388888889,126.44754722222223,Apron 1
45,37.44677222222222,126.44735277777778,Apron 1
46,37.44616111111111,126.44726666666666,Apron 1
47,37.44563611111111,126.44720833333334,Apron 1
48,37.44529444444444,126.44765833333334,Apron 1
49,37.44526111111111,126.44813611111111,Apron 1
50,37.44561944444444,126.44876388888889,Apron 1
103,37.458219444444445,126.44999722222222,Apron 1
105,37.457905555555556,126.44960277777778,Apron 1
107,37.457597222222226,126.44886944444445,Apron 1
109,37.45721944444445,126.44820277777778,Apron 1
111,37.456763888888894,126.44739444444444,Apron 1
113,37.456386111111115,126.44672777777778,Apron 1
115,37.455925,126.44613055555556,Apron 1
117,37.45557777777778,126.44547777777778,Apron 1
119,37.45518611111111,126.44478055555555,Apron 1
121,37.454875,126.44405277777778,Apron 1
123,37.45449722222222,126.44338333333334,Apron 1
125,37.45400555555556,126.442625,Apron 1
127,37.453586111111115,126.44199166666667,Apron 1
129,37.453272222222225,126.44135833333334,Apron 1
131,37.45299166666667,126.44094166666667,Apron 1
132,37.45328333333334,126.44055277777778,Apron 1
101,37.458669444444446,126.44943333333333,Apron 2
102,37.45899444444445,126.44910277777778,Apron 2
104,37.45879444444445,126.44873055555556,Apron 2
106,37.45840277777778,126.44838888888889,Apron 2
108,37.45808055555556,126.44767222222222,Apron 2
110,37.45760277777778,126.44698611111112,Apron 2
112,37.457147222222225,126.44618055555556,Apron 2
114,37.456877777777784,126.4454,Apron 2
118,37.45577222222222,126.4436,Apron 2
122,37.45529166666667,126.44285555555555,Apron 2
126,37.454861111111114,126.44213333333333,Apron 2
128,37.45444444444445,126.44139444444446,Apron 2
130,37.454169444444446,126.44061944444445,Apron 2
321,37.46193055555556,126.44688055555557,Apron 2
322,37.46149722222223,126.44615833333334,Apron 2
323,37.46094444444445,126.44517777777779,Apron 2
324,37.46038888888889,126.44419722222223,Apron 2
325,37.45988055555556,126.44330000000001,Apron 2
326,37.45941944444445,126.44248055555556,Apron 2
327,37.458955555555555,126.4416638888889,Apron 2
328,37.45849444444445,126.44084444444445,Apron 2
329,37.45798611111111,126.43994722222223,Apron 2
330,37.457433333333334,126.43896666666667,Apron 2
331,37.456877777777784,126.43798611111112,Apron 2
332,37.45647777777778,126.43723333333334,Apron 2
341,37.4637,126.44501666666667,Apron 2
342,37.46324166666667,126.44420833333334,Apron 2
343,37.46279722222223,126.44341666666666,Apron 2
344,37.46228333333334,126.44303055555557,Apron 2
345,37.462072222222226,126.44265833333334,Apron 2
346,37.46186111111111,126.44228611111112,Apron 2
347,37.461650000000006,126.44191111111111,Apron 2
348,37.46143888888889,126.44153888888889,Apron 2
349,37.46122777777778,126.44116666666667,Apron 2
350,37.45944444444445,126.43801111111111,Apron 2
351,37.45934166666667,126.43730277777779,Apron 2
352,37.45892222222223,126.4365638888889,Apron 2
353,37.458466666666666,126.43575833333334,Apron 2
208,37.47156666666667,126.42857222222223,Apron 3
209,37.47131111111111,126.42813055555555,Apron 3
210,37.47128888888889,126.42771666666667,Apron 3
211,37.471075,126.42733611111112,Apron 3
212,37.47086111111111,126.42695833333333,Apron 3
213,37.470647222222226,126.42658333333334,Apron 3
214,37.47046666666667,126.426225,Apron 3
215,37.47014444444444,126.42628055555556,Apron 3
216,37.46986944444445,126.42668055555556,Apron 3
217,37.46945,126.42710000000001,Apron 3
218,37.46899722222222,126.42763611111111,Apron 3
219,37.46837222222222,126.42789166666667,Apron 3
220,37.46803888888889,126.42866666666667,Apron 3
221,37.46751944444445,126.4291638888889,Apron 3
222,37.466969444444445,126.42969444444445,Apron 3
224,37.466344444444445,126.43027500000001,Apron 3
225,37.465586111111115,126.430975,Apron 3
231,37.46486111111111,126.43159166666668,Apron 3
232,37.464063888888894,126.43197500000001,Apron 3
233,37.463350000000005,126.43233055555557,Apron 3
234,37.46256944444445,126.43268055555556,Apron 3
235,37.46206388888889,126.43289722222222,Apron 3
236,37.46156388888889,126.43315,Apron 3
237,37.46165277777778,126.43346944444446,Apron 3
238,37.46165277777778,126.43400277777778,Apron 3
239,37.461825000000005,126.434375,Apron 3
240,37.46217777777778,126.43441944444444,Apron 3
241,37.46253055555556,126.43460277777778,Apron 3
242,37.46291111111111,126.43428055555556,Apron 3
243,37.46342222222223,126.43404166666667,Apron 3
245,37.463594444444446,126.43354444444445,Apron 3
246,37.46429166666667,126.43311666666668,Apron 3
247,37.46527777777778,126.43325833333334,Apron 3
248,37.465897222222225,126.43396666666668,Apron 3
249,37.466302777777784,126.4347138888889,Apron 3
250,37.46641944444445,126.43542222222223,Apron 3
251,37.46706388888889,126.43605833333334,Apron 3
252,37.46749166666667,126.43679722222222,Apron 3
253,37.467819444444444,126.43773055555556,Apron 3
254,37.46760833333334,126.43896388888889,Apron 3
255,37.466794444444446,126.43994444444445,Apron 3
256,37.466275,126.44027777777778,Apron 3
257,37.465922222222225,126.44061388888889,Apron 3
258,37.465719444444446,126.44108611111112,Apron 3
259,37.46596388888889,126.44128611111111,Apron 3
260,37.46619722222223,126.44175277777778,Apron 3
261,37.46645277777778,126.44204722222223,Apron 3
262,37.46671111111111,126.44188333333334,Apron 3
263,37.46708888888889,126.44166111111112,Apron 3
264,37.46739166666667,126.44110833333333,Apron 3
265,37.46791944444445,126.44031111111111,Apron 3
267,37.46898055555556,126.4388388888889,Apron 3
268,37.46958333333333,126.43810277777779,Apron 3
275,37.47040277777778,126.43746944444445,Apron 3
276,37.47101388888889,126.43697222222222,Apron 3
277,37.471561111111114,126.436525,Apron 3
278,37.47211111111111,126.43607777777778,Apron 3
279,37.472686111111116,126.43598888888889,Apron 3
280,37.473036111111114,126.43536111111112,Apron 3
281,37.47363055555556,126.43495277777778,Apron 3
282,37.474219444444444,126.43453333333333,Apron 3
283,37.47482222222222,126.43437222222222,Apron 3
284,37.474783333333335,126.43396666666668,Apron 3
285,37.47468055555556,126.43363611111111,Apron 3
286,37.47446388888889,126.43333055555556,Apron 3
288,37.47403611111111,126.432575,Apron 3
289,37.473822222222225,126.43219722222223,Apron 3
290,37.47360833333334,126.43182222222222,Apron 3
291,37.473169444444444,126.4319138888889,Apron 3
361,37.464225000000006,126.44471111111112,Apron 3
362,37.463825,126.44426111111112,Apron 3
363,37.46344722222223,126.44359166666668,Apron 3
364,37.46306944444445,126.44292222222222,Apron 3
365,37.46269166666667,126.44225555555556,Apron 3
366,37.46231388888889,126.44158611111112,Apron 3
367,37.461933333333334,126.44091944444445,Apron 3
368,37.46178888888889,126.44024444444445,Apron 3
369,37.46141388888889,126.43958055555557,Apron 3
370,37.46095555555556,126.43918333333333,Apron 3
371,37.46057777777778,126.43851666666667,Apron 3
372,37.4602,126.43784722222223,Apron 3
373,37.45982222222222,126.43717777777778,Apron 3
374,37.45944444444445,126.43651111111112,Apron 3
375,37.45906666666667,126.43584166666668,Apron 3
376,37.45885833333334,126.43521944444444,Apron 3
501,37.47157777777778,126.44005555555556,Apron 3
502,37.472166666666666,126.43949722222223,Apron 3
503,37.47271388888889,126.43900555555555,Apron 3
504,37.47325,126.43853055555556,Apron 3
505,37.47374166666667,126.43809722222223,Apron 3
506,37.475791666666666,126.43632777777778,Apron 3
507,37.47609444444445,126.43605833333334,Apron 3
511,37.46477222222222,126.42803333333333,Apron 3
512,37.46538888888889,126.42751944444444,Apron 3
513,37.46593611111111,126.42703333333334,Apron 3
514,37.46647222222222,126.42655833333333,Apron 3
515,37.46696111111111,126.42611944444445,Apron 3
516,37.468986111111114,126.4242888888889,Apron 3
517,37.46928333333334,126.424025,Apron 3
520,37.47516111111111,126.42606388888889,Apron 4
521,37.47542777777778,126.42572777777778,Apron 4
522,37.475725000000004,126.42546111111112,Apron 4
523,37.47627222222222,126.42529722222223,Apron 4
524,37.47680555555556,126.424825,Apron 4
525,37.47733888888889,126.42435,Apron 4
526,37.477872222222224,126.42387500000001,Apron 4
527,37.47817777777778,126.42328055555556,Apron 4
528,37.478475,126.42301666666667,Apron 4
529,37.47880833333333,126.42281666666668,Apron 4
530,37.479105555555556,126.42255,Apron 4
531,37.47415277777778,126.42425,Apron 4
532,37.47451111111111,126.42375277777778,Apron 4
533,37.47504444444445,126.42327777777778,Apron 4
534,37.47705,126.42149444444445,Apron 4
535,37.477580555555555,126.42101944444445,Apron 4
536,37.478075000000004,126.42075833333334,Apron 4
541,37.47273611111111,126.4247388888889,Apron 4
542,37.47338055555556,126.42416666666666,Apron 4
543,37.474022222222224,126.42359444444445,Apron 4
544,37.47466666666667,126.42302222222223,Apron 4
545,37.47683055555556,126.42110833333334,Apron 4
546,37.47736388888889,126.42063333333334,Apron 4
547,37.47776666666667,126.4202138888889,Apron 4
601,37.46329166666667,126.46375277777778,Cargo Apron 1
602,37.46366944444445,126.46442222222223,Cargo Apron 1
603,37.46404722222223,126.46509166666667,Cargo Apron 1
604,37.46452777777778,126.46594166666667,Cargo Apron 1
605,37.46490555555556,126.46661111111112,Cargo Apron 1
606,37.46528333333334,126.46728055555556,Cargo Apron 1
607,37.46576666666667,126.46813333333334,Cargo Apron 1
608,37.466144444444446,126.46880277777778,Cargo Apron 1
609,37.466519444444444,126.46946944444444,Cargo Apron 1
610,37.46700277777778,126.470325,Cargo Apron 1
611,37.46738055555556,126.47099166666666,Cargo Apron 1
612,37.467758333333336,126.47166111111112,Cargo Apron 1
613,37.46814166666667,126.472325,Cargo Apron 1
614,37.468519444444446,126.47299166666667,Cargo Apron 1
615,37.468897222222225,126.47366111111111,Cargo Apron 1
616,37.469275,126.47433055555555,Cargo Apron 1
621,37.46556944444445,126.46172777777778,Cargo Apron 1
622,37.465947222222226,126.46239722222222,Cargo Apron 1
623,37.466325000000005,126.4630638888889,Cargo Apron 1
624,37.46680555555556,126.46391666666666,Cargo Apron 1
625,37.46718333333334,126.46458611111112,Cargo Apron 1
626,37.46756111111111,126.46525555555556,Cargo Apron 1
627,37.468044444444445,126.46610833333334,Cargo Apron 1
628,37.46842222222222,126.46677777777778,Cargo Apron 1
629,37.4688,126.46744444444445,Cargo Apron 1
630,37.46928055555556,126.46829722222222,Cargo Apron 1
631,37.469658333333335,126.46896666666667,Cargo Apron 1
632,37.47003611111111,126.46963611111111,Cargo Apron 1
633,37.47040833333334,126.47030833333334,Cargo Apron 1
634,37.47078611111111,126.47097777777778,Cargo Apron 1
635,37.47116388888889,126.47164722222223,Cargo Apron 1
636,37.47154166666667,126.47231388888889,Cargo Apron 1
641,37.47066944444445,126.4573,Cargo Apron 2
642,37.47112777777778,126.45800277777778,Cargo Apron 2
643,37.47150555555556,126.45867222222222,Cargo Apron 2
